timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/29 19:25:39.377, 0 %, 0 %, 3 MiB, 46068 MiB, 31.84 W
2026/03/29 19:25:49.378, 0 %, 0 %, 3 MiB, 46068 MiB, 31.73 W
2026/03/29 19:25:59.379, 0 %, 0 %, 3 MiB, 46068 MiB, 31.98 W
2026/03/29 19:26:09.380, 0 %, 0 %, 3 MiB, 46068 MiB, 31.98 W
2026/03/29 19:26:19.381, 0 %, 0 %, 3 MiB, 46068 MiB, 31.81 W
2026/03/29 19:26:29.382, 0 %, 0 %, 3 MiB, 46068 MiB, 32.06 W
2026/03/29 19:26:39.383, 0 %, 0 %, 3 MiB, 46068 MiB, 31.95 W
2026/03/29 19:26:49.384, 0 %, 0 %, 3 MiB, 46068 MiB, 31.71 W
2026/03/29 19:26:59.384, 0 %, 0 %, 3 MiB, 46068 MiB, 31.95 W
2026/03/29 19:27:09.385, 0 %, 0 %, 3 MiB, 46068 MiB, 31.99 W
2026/03/29 19:27:19.386, 0 %, 0 %, 3 MiB, 46068 MiB, 31.93 W
2026/03/29 19:27:29.387, 0 %, 0 %, 3 MiB, 46068 MiB, 31.87 W
2026/03/29 19:27:39.388, 0 %, 0 %, 3 MiB, 46068 MiB, 32.05 W
2026/03/29 19:27:49.389, 0 %, 0 %, 3 MiB, 46068 MiB, 31.87 W
2026/03/29 19:27:59.390, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:28:09.391, 0 %, 0 %, 3 MiB, 46068 MiB, 31.84 W
2026/03/29 19:28:19.392, 0 %, 0 %, 3 MiB, 46068 MiB, 31.70 W
2026/03/29 19:28:29.393, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:28:39.394, 0 %, 0 %, 3 MiB, 46068 MiB, 31.90 W
2026/03/29 19:28:49.395, 0 %, 0 %, 3 MiB, 46068 MiB, 31.71 W
2026/03/29 19:28:59.396, 0 %, 0 %, 3 MiB, 46068 MiB, 31.91 W
2026/03/29 19:29:09.397, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:29:19.398, 0 %, 0 %, 3 MiB, 46068 MiB, 31.68 W
2026/03/29 19:29:29.399, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:29:39.400, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
